school_id,school,school_mascot,abbreviation,conference_id,division,classification,color,alternate_color,logo,stadium_name,school_city,school_state,stadium_latitude,stadium_longitude,stadium_elevation,stadium_capacity,stadium_grass,stadium_dome
2277,Houston Christian,Huskies,HCU,30,,fcs,#00539c,#null,https://cdn.collegefootballdata.com/logos/500/2277.png,Husky Stadium,Houston,TX,29.6949025,-95.5167353,19.87884521,5000,FALSE,FALSE
2320,Lamar,Cardinals,LAM,30,,fcs,#000000,#ebebeb,https://cdn.collegefootballdata.com/logos/500/2320.png,Provost Umphrey Stadium,Beaumont,TX,30.04313,-94.069963,3.981505394,16000,FALSE,FALSE
2377,McNeese,Cowboys,MCN,30,,fcs,#00529C,#null,https://cdn.collegefootballdata.com/logos/500/2377.png,Cowboy Stadium,Lake Charles,LA,30.1804575,-93.2178729,4.168509007,17610,FALSE,FALSE
2447,Nicholls,Colonels,NICH,30,,fcs,#C41230,#f0f0f0,https://cdn.collegefootballdata.com/logos/500/2447.png,Manning Field at John L. Guidry Stadium,Thibodaux,LA,29.7867254,-90.80455,3.23726368,10500,FALSE,FALSE
2466,Northwestern State,Demons,NWST,30,,fcs,#492F91,#ed6118,https://cdn.collegefootballdata.com/logos/500/2466.png,Harry Turpin Stadium,Natchitoches,LA,31.747259,-93.0961357,36.58879089,15971,FALSE,FALSE
2545,SE Louisiana,Lions,SELA,30,,fcs,#215732,#ffc72c,https://cdn.collegefootballdata.com/logos/500/2545.png,Strawberry Stadium,Hammond,LA,30.5110264,-90.4685792,13.7104578,7408,FALSE,FALSE
2617,Stephen F. Austin,Lumberjacks,SFA,30,,fcs,#393996,#bec0c2,https://cdn.collegefootballdata.com/logos/500/2617.png,Homer Bryce Stadium,Nacogdoches,TX,31.625719,-94.6444034,89.99433899,14575,FALSE,FALSE
2837,East Texas A&M,Lions,ETAM,30,,fcs,#000000,#null,https://cdn.collegefootballdata.com/logos/500/2837.png,Memorial Stadium (Commerce TX),Commerce,TX,33.2442615,-95.9006353,171,11582,FALSE,FALSE
2916,Incarnate Word,Cardinals,UIW,30,,fcs,#000000,#080808,https://cdn.collegefootballdata.com/logos/500/2916.png,Gayle and Tom Benson Stadium,San Antonio,TX,29.4674787,-98.470014,208.4659576,6000,FALSE,FALSE
6,South Alabama,Jaguars,USA,37,West,fbs,#00205b,#bf0d3e,https://cdn.collegefootballdata.com/logos/500/6.png,Hancock Whitney Stadium,Mobile,AL,30.696904,-88.192013,45,25450,FALSE,FALSE
256,James Madison,Dukes,JMU,37,East,fbs,#450084,#cbb677,https://cdn.collegefootballdata.com/logos/500/256.png,Bridgeforth Stadium,Harrisonburg,VA,38.4352919,-78.8729349,399.303009,24877,FALSE,FALSE
276,Marshall,Thundering Herd,MRSH,37,East,fbs,#00b140,#000000,https://cdn.collegefootballdata.com/logos/500/276.png,Joan C. Edwards Stadium,Huntington,WV,38.4247042,-82.4214412,163.7328186,38016,FALSE,FALSE
290,Georgia Southern,Eagles,GASO,37,East,fbs,#041e42,#ffffff,https://cdn.collegefootballdata.com/logos/500/290.png,Allen E. Paulson Stadium,Statesboro,GA,32.4122471,-81.7849296,61.25376892,25000,FALSE,FALSE
295,Old Dominion,Monarchs,ODU,37,East,fbs,#043657,#98c5ea,https://cdn.collegefootballdata.com/logos/500/295.png,S.B. Ballard Stadium,Norfolk,VA,36.8889533,-76.3049175,3.147987843,20118,FALSE,FALSE
